iter	Logloss
0	0.651373062
1	0.6160250732
2	0.5867654985
3	0.566617682
4	0.5472161917
5	0.5320695994
6	0.5195267187
7	0.5075117322
8	0.4962015616
9	0.4894016837
10	0.4804389233
11	0.4736105804
12	0.4673876489
13	0.4617470779
14	0.4556280615
15	0.4507683887
16	0.4463829574
17	0.4417747549
18	0.4382934211
19	0.4355696337
20	0.4319766203
21	0.4280863436
22	0.4253546553
23	0.4230721779
24	0.4208437718
25	0.4182742373
26	0.4158076996
27	0.4144194017
28	0.4121662573
29	0.4104818567
30	0.4083588107
31	0.4069298905
32	0.4045603527
33	0.4024718455
34	0.4001022725
35	0.3973549969
36	0.3954303237
37	0.3945879863
38	0.3937820846
39	0.3926951273
40	0.3906394056
41	0.389108437
42	0.3868197163
43	0.3856663262
44	0.3840901185
45	0.3809141426
46	0.3796651827
47	0.3789410423
48	0.377364737
49	0.3752026405
50	0.3737360656
51	0.3721701601
52	0.3711010805
53	0.3691209547
54	0.3679158476
55	0.3669536189
56	0.3650718568
57	0.3649262552
58	0.3635975077
59	0.3623411224
60	0.3611125455
61	0.360133459
62	0.3591612166
63	0.3570515179
64	0.3542306341
65	0.3523944829
66	0.3509516365
67	0.3500959834
68	0.3484312821
69	0.3467525195
70	0.3444136243
71	0.3415053882
72	0.3398974935
73	0.3388565271
74	0.337672475
75	0.3370607343
76	0.3351546634
77	0.3332493345
78	0.332382904
79	0.3314266295
80	0.329526861
81	0.3268429491
82	0.3266779232
83	0.3264787398
84	0.3249823226
85	0.3245899866
86	0.3232281778
87	0.321862962
88	0.3212866014
89	0.320441538
90	0.3183062023
91	0.3178497174
92	0.3168652148
93	0.3152904099
94	0.3132934842
95	0.3115213251
96	0.3088243297
97	0.3086556572
98	0.3070394147
99	0.3062381846
100	0.3035291054
101	0.3021382136
102	0.3004085075
103	0.2985132291
104	0.2965488049
105	0.2952859752
106	0.2935051865
107	0.2930768212
108	0.2921220383
109	0.2919840518
110	0.2904320438
111	0.290050033
112	0.288327101
113	0.2865678623
114	0.2858207492
115	0.2844114907
116	0.2836462863
117	0.2814342268
118	0.2793158047
119	0.278643613
120	0.2774341547
121	0.2753273275
122	0.2736664217
123	0.2735379249
124	0.2723495465
125	0.2708566154
126	0.2707036411
127	0.2701444062
128	0.2691345744
129	0.2682728734
130	0.2667460554
131	0.2665448015
132	0.2664335526
133	0.2662830234
134	0.2656811394
135	0.2648039039
136	0.2628365144
137	0.260874943
138	0.25899654
139	0.2579098249
140	0.2562978426
141	0.2546471807
142	0.2543424771
143	0.2541819889
144	0.2523973713
145	0.250732946
146	0.2494806634
147	0.2478712037
148	0.2474377683
149	0.2463933737
150	0.2456869947
151	0.2433699853
152	0.2427167325
153	0.2412414329
154	0.2392837873
155	0.2382877975
156	0.2376546351
157	0.2355833849
158	0.2347429269
159	0.2328735302
160	0.2311897963
161	0.2307823881
162	0.2297485992
163	0.2286771046
164	0.2279424764
165	0.2271156592
166	0.2254403017
167	0.2240574154
168	0.2238323364
169	0.2235915237
170	0.2226748581
171	0.222138369
172	0.2212105832
173	0.2202121086
174	0.2188791588
175	0.2180656212
176	0.2179876976
177	0.217313256
178	0.2166517877
179	0.2148998296
180	0.2144493702
181	0.2141266962
182	0.2140085473
183	0.212809557
184	0.212571707
185	0.2115289143
186	0.2100479798
187	0.2094759379
188	0.2082212409
189	0.206927753
190	0.2053002191
191	0.2039663869
192	0.2036069305
193	0.2024806776
194	0.2007959553
195	0.1996574086
196	0.1987755863
197	0.1986973428
198	0.1982335492
199	0.1973618638
200	0.1972686621
201	0.1970785676
202	0.1969398871
203	0.1960016703
204	0.1953185957
205	0.1946675249
206	0.1934073829
207	0.1926866997
208	0.1921237501
209	0.1913595773
210	0.1901408863
211	0.1888803859
212	0.188336871
213	0.1871355959
214	0.1870965696
215	0.1870201171
216	0.1862457233
217	0.1852030056
218	0.1844892265
219	0.1843240243
220	0.1842679771
221	0.1842352867
222	0.1834240413
223	0.1833929273
224	0.1821464272
225	0.1821018108
226	0.1812064798
227	0.1799690966
228	0.179127357
229	0.1782183733
230	0.1774808424
231	0.1765762424
232	0.1755121305
233	0.1745803154
234	0.1738440096
235	0.1733479444
236	0.171884147
237	0.1708969589
238	0.1705049048
239	0.1699616526
240	0.169426035
241	0.1693541294
242	0.1693247983
243	0.1687879905
244	0.1686048114
245	0.1681514784
246	0.1667688541
247	0.1658442973
248	0.1648565305
249	0.1642752383
250	0.1641986962
251	0.162808025
252	0.1624549579
253	0.1622204325
254	0.1616987
255	0.1616134411
256	0.1610831567
257	0.1603106133
258	0.1592899692
259	0.1589727826
260	0.1577203299
261	0.1567605676
262	0.1563548813
263	0.1555035501
264	0.1543523492
265	0.1535039227
266	0.1530438285
267	0.1525368725
268	0.1523881265
269	0.1519919723
270	0.1519349325
271	0.1507461665
272	0.1505945274
273	0.1501326085
274	0.1492891475
275	0.1486425334
276	0.1484606039
277	0.1483483989
278	0.1479782104
279	0.1478507488
280	0.1470483783
281	0.1464149827
282	0.1461803431
283	0.1458386285
284	0.1458119119
285	0.1449696677
286	0.1438837064
287	0.1437985804
288	0.1436281979
289	0.1425355538
290	0.1421980845
291	0.1418958104
292	0.1413004009
293	0.1404764105
294	0.1396629479
295	0.1390851997
296	0.1381719972
297	0.1372349032
298	0.1368118198
299	0.1364399211
300	0.1358877892
301	0.1351292186
302	0.1347534439
303	0.1340617615
304	0.13372068
305	0.1332756649
306	0.1326110014
307	0.1321854415
308	0.1321285764
309	0.131697965
310	0.1312167044
311	0.1305436499
312	0.1304182012
313	0.1291421321
314	0.1291145493
315	0.1281428014
316	0.1278461391
317	0.1266565475
318	0.1266445711
319	0.1265560255
320	0.1259626937
321	0.1253312272
322	0.1252566367
323	0.1238926445
324	0.1232843905
325	0.1232690307
326	0.1226501212
327	0.1223986435
328	0.1218231472
329	0.12109845
330	0.1206207672
331	0.120062537
332	0.119859487
333	0.1192976903
334	0.1191511341
335	0.1188176071
336	0.1179898439
337	0.117770444
338	0.1168733629
339	0.1162375873
340	0.1160851666
341	0.1154990587
342	0.1151523059
343	0.1150834471
344	0.1149294585
345	0.1145431322
346	0.1139385138
347	0.1136799648
348	0.1136351121
349	0.1132842324
350	0.1127362208
351	0.1126922675
352	0.1118003479
353	0.111328613
354	0.1110260678
355	0.1104019697
356	0.1103045835
357	0.1101167611
358	0.1100701978
359	0.1097249494
360	0.1095557082
361	0.1094582942
362	0.1093617762
363	0.1089295864
364	0.1088318652
365	0.1085993529
366	0.108567544
367	0.1082501153
368	0.1076934787
369	0.1071114722
370	0.1068793268
371	0.1064328484
372	0.1062786411
373	0.1056928402
374	0.105254939
375	0.1045529021
376	0.1040749112
377	0.1033836156
378	0.1032766915
379	0.1028141073
380	0.1024017218
381	0.1023710127
382	0.1017342714
383	0.101477188
384	0.1010897575
385	0.1006947589
386	0.1000332646
387	0.09987380249
388	0.09938350527
389	0.09867837087
390	0.0979167203
391	0.09718779548
392	0.09673373068
393	0.09585436439
394	0.09536566733
395	0.09443645104
396	0.09438421674
397	0.09389311702
398	0.09333748446
399	0.09328884937
400	0.09327427253
401	0.09324959468
402	0.09319791066
403	0.09316616374
404	0.09311557391
405	0.09267292922
406	0.09257637914
407	0.09230127351
408	0.09194527227
409	0.09191104539
410	0.0914531477
411	0.09143567121
412	0.09084335486
413	0.09079274483
414	0.09038469074
415	0.08997334234
416	0.08954119693
417	0.08934643234
418	0.08893983698
419	0.0887817818
420	0.08875209577
421	0.08852816604
422	0.08797152675
423	0.0875765218
424	0.08722820302
425	0.08706516765
426	0.08663127244
427	0.08657590169
428	0.08640961307
429	0.08600233682
430	0.08563612412
431	0.08528062296
432	0.0848715824
433	0.08481431624
434	0.08479244437
435	0.08475227245
436	0.08412108273
437	0.08402820407
438	0.08373375122
439	0.08370491198
440	0.08346991985
441	0.08312967419
442	0.08281995847
443	0.08239158396
444	0.0823831142
445	0.08226595124
446	0.08225108312
447	0.08203500141
448	0.08201168372
449	0.08197241675
450	0.0815350678
451	0.08112744739
452	0.08104489248
453	0.08071044919
454	0.08069823987
455	0.08060212695
456	0.08030768392
457	0.08029476231
458	0.08000252132
459	0.0796839681
460	0.07956244729
461	0.07919449483
462	0.07897764209
463	0.07886882864
464	0.07865517642
465	0.07860538934
466	0.07845110708
