iter	Logloss
0	0.6498164034
1	0.6138475265
2	0.5854388425
3	0.5609999256
4	0.5415631765
5	0.5251195749
6	0.5100456452
7	0.4956386204
8	0.4823325424
9	0.4733295761
10	0.4625659384
11	0.4560437393
12	0.4515475272
13	0.4475405258
14	0.441223088
15	0.4324476134
16	0.4267788886
17	0.4232256218
18	0.4162546354
19	0.4113670506
20	0.4078349517
21	0.4030688301
22	0.4019097455
23	0.3998076823
24	0.3953651026
25	0.3941527512
26	0.3908616059
27	0.3852166211
28	0.3827386479
29	0.3779281642
30	0.3749893992
31	0.3719084915
32	0.3695074113
33	0.3676672967
34	0.364022194
35	0.3633336504
36	0.3622307006
37	0.3615321195
38	0.3602187759
39	0.3583302126
40	0.3558148031
41	0.3524699956
42	0.3513797719
43	0.3474970777
44	0.3449077019
45	0.3439542256
46	0.3428017471
47	0.3414730677
48	0.3405421624
49	0.338187
50	0.3365536022
51	0.3330385265
52	0.3318152379
53	0.3299158791
54	0.3265476384
55	0.3260634833
56	0.3238997951
57	0.3230741516
58	0.3223987988
59	0.3206328277
60	0.3200104635
61	0.3188694056
62	0.3177722771
63	0.3159727976
64	0.3127808401
65	0.3116057184
66	0.3075114358
67	0.3069207678
68	0.306784814
69	0.3057536958
70	0.3055063425
71	0.3023761486
72	0.2991863354
73	0.2961483635
74	0.2944746915
75	0.2927243926
76	0.2923019742
77	0.2917384697
78	0.2913350677
79	0.2899843775
80	0.2889350948
81	0.2861135178
82	0.2854379466
83	0.2845180677
84	0.2835172014
85	0.2827258542
86	0.2819065293
87	0.2815321385
88	0.2805450729
89	0.2774788664
90	0.2762249808
91	0.2755673499
92	0.2733080297
93	0.2725615978
94	0.2721923309
95	0.2715852618
96	0.269512072
97	0.2666437598
98	0.2661996651
99	0.2626286487
100	0.262383817
101	0.2605093329
102	0.2581351832
103	0.2562043098
104	0.253341804
105	0.250891286
106	0.247416881
107	0.2461718003
108	0.2444596343
109	0.242312679
110	0.2418174697
111	0.2411799196
112	0.2401281729
113	0.2395546702
114	0.239243045
115	0.2374149815
116	0.2371802598
117	0.2365678976
118	0.2339355188
119	0.2336453745
120	0.2317594913
121	0.2291380922
122	0.2283914559
123	0.227995637
124	0.2276281395
125	0.2274497414
126	0.2267778227
127	0.224427151
128	0.2235196013
129	0.2226366068
130	0.2194121077
131	0.2184444027
132	0.2178540481
133	0.2162935113
134	0.2161379423
135	0.2159389802
136	0.2157857712
137	0.2144588761
138	0.2115512236
139	0.208651391
140	0.2083964359
141	0.208289459
142	0.2081530241
143	0.207992929
144	0.2056692691
145	0.2039962335
146	0.2037524593
147	0.2036791465
148	0.2030007264
149	0.2016337045
150	0.2007410866
151	0.1973477943
152	0.1954095457
153	0.1953630325
154	0.1934405173
155	0.1927250572
156	0.1926804442
157	0.1903539772
158	0.1893007238
159	0.1880829393
160	0.1869845912
161	0.1859328972
162	0.1837038699
163	0.1826512575
164	0.1810033262
165	0.1800255481
166	0.179770706
167	0.1797256581
168	0.1794738066
169	0.1794104715
170	0.1784908968
171	0.1782200355
172	0.177238421
173	0.1754222281
174	0.1752178542
175	0.1741256483
176	0.1735792343
177	0.1734196324
178	0.1731879829
179	0.172646993
180	0.1725165676
181	0.1721276851
182	0.1692485668
183	0.1678315597
184	0.1661420343
185	0.1660397221
186	0.1659365598
187	0.1658277061
188	0.1641118505
189	0.1638022215
190	0.162927708
191	0.1608783923
192	0.1597624498
193	0.1581480443
194	0.1568906424
195	0.1568390345
196	0.1566490674
197	0.1553979762
198	0.1553201028
199	0.1552064362
200	0.1539202164
201	0.1523857323
202	0.1523001716
203	0.1505685929
204	0.1496919299
205	0.1485953073
206	0.1483945
207	0.1477396162
208	0.1458780439
209	0.1457616119
210	0.144544142
211	0.1442668935
212	0.1441877431
213	0.1430348311
214	0.1429656736
215	0.1429005117
216	0.1427103905
217	0.1426269128
218	0.142301417
219	0.1418678257
220	0.1416423726
221	0.1415929535
222	0.1407750943
223	0.1396122319
224	0.1395810597
225	0.1392728214
226	0.1388855603
227	0.1375773759
228	0.1375121257
229	0.1365299876
230	0.1364643642
231	0.1353160233
232	0.1349728464
233	0.1336101422
234	0.1327768241
235	0.1326958205
236	0.1326371512
237	0.1323063597
238	0.1311174998
239	0.1305919556
240	0.1305412839
241	0.130359663
242	0.1303371972
243	0.1292064283
244	0.1275826572
245	0.1263656013
246	0.1253680586
247	0.1242830687
248	0.1233054116
249	0.1222974491
250	0.1216399678
251	0.1209119707
252	0.1205597956
253	0.1202474728
254	0.1201740237
255	0.1195906439
256	0.1180952365
257	0.1177504547
258	0.1176951596
259	0.1165967197
260	0.1156753449
261	0.1150561577
262	0.114383546
263	0.1133186303
264	0.1132600076
265	0.1131288643
266	0.113105505
267	0.1130579746
268	0.112373826
269	0.1117662366
270	0.1116403987
271	0.1114960651
272	0.1114349435
273	0.110778065
274	0.1101337834
275	0.1092920777
276	0.1084131746
277	0.1083726593
278	0.1080073889
279	0.1074777077
280	0.1070056745
281	0.1067742298
282	0.1066878407
283	0.1060777575
284	0.1059987965
285	0.1055814625
286	0.1054384525
287	0.1050945026
288	0.1044551799
289	0.1043284254
290	0.104304658
291	0.1042858109
292	0.1038573757
